SaleID,Date,ProductID,CustomerID,Quantity,UnitPrice
1,2024-01-01,1,1,1,500
2,2024-01-02,1,2,1,500
3,2024-01-02,2,3,2,750
4,2024-01-03,1,3,1,500
5,2024-01-03,2,4,2,750
6,2024-01-03,3,5,3,950
7,2024-01-04,1,4,1,500
8,2024-01-05,1,5,1,500
9,2024-01-05,2,1,2,750
10,2024-01-06,1,1,1,500
11,2024-01-06,2,2,2,750
12,2024-01-06,3,3,3,950
13,2024-01-07,1,2,1,500
14,2024-01-08,1,3,1,500
15,2024-01-08,2,4,2,750
16,2024-01-09,1,4,1,500
17,2024-01-09,2,5,2,750
18,2024-01-09,3,1,3,950
19,2024-01-10,1,5,1,500
20,2024-01-11,1,1,1,500
21,2024-01-11,2,2,2,750
22,2024-01-12,1,2,1,500
23,2024-01-12,2,3,2,750
24,2024-01-12,3,4,3,950
25,2024-01-13,1,3,1,500
26,2024-01-14,1,4,1,500
27,2024-01-14,2,5,2,750
28,2024-01-15,1,5,1,500
29,2024-01-15,2,1,2,750
30,2024-01-15,3,2,3,950
31,2024-01-16,1,1,1,500
32,2024-01-17,1,2,1,500
33,2024-01-17,2,3,2,750
34,2024-01-18,1,3,1,500
35,2024-01-18,2,4,2,750
36,2024-01-18,3,5,3,950
37,2024-01-19,1,4,1,500
38,2024-01-20,1,5,1,500
39,2024-01-20,2,1,2,750
40,2024-01-21,1,1,1,500
41,2024-01-21,2,2,2,750
42,2024-01-21,3,3,3,950
43,2024-01-22,1,2,1,500
44,2024-01-23,1,3,1,500
45,2024-01-23,2,4,2,750
46,2024-01-24,1,4,1,500
47,2024-01-24,2,5,2,750
48,2024-01-24,3,1,3,950
49,2024-01-25,1,5,1,500
50,2024-01-26,1,1,1,500
51,2024-01-26,2,2,2,750
52,2024-01-27,1,2,1,500
53,2024-01-27,2,3,2,750
54,2024-01-27,3,4,3,950
55,2024-01-28,1,3,1,500
56,2024-01-29,1,4,1,500
57,2024-01-29,2,5,2,750
58,2024-01-30,1,5,1,500
59,2024-01-30,2,1,2,750
60,2024-01-30,3,2,3,950
61,2024-01-31,1,1,1,500
62,2024-02-01,1,2,1,500
63,2024-02-01,2,3,2,750
64,2024-02-02,1,3,1,500
65,2024-02-02,2,4,2,750
66,2024-02-02,3,5,3,950
67,2024-02-03,1,4,1,500
68,2024-02-04,1,5,1,500
69,2024-02-04,2,1,2,750
70,2024-02-05,1,1,1,500
71,2024-02-05,2,2,2,750
72,2024-02-05,3,3,3,950
73,2024-02-06,1,2,1,500
74,2024-02-07,1,3,1,500
75,2024-02-07,2,4,2,750
76,2024-02-08,1,4,1,500
77,2024-02-08,2,5,2,750
78,2024-02-08,3,1,3,950
79,2024-02-09,1,5,1,500
80,2024-02-10,1,1,1,500
81,2024-02-10,2,2,2,750
82,2024-02-11,1,2,1,500
83,2024-02-11,2,3,2,750
84,2024-02-11,3,4,3,950
85,2024-02-12,1,3,1,500
86,2024-02-13,1,4,1,500
87,2024-02-13,2,5,2,750
88,2024-02-14,1,5,1,500
89,2024-02-14,2,1,2,750
90,2024-02-14,3,2,3,950
91,2024-02-15,1,1,1,500
92,2024-02-16,1,2,1,500
93,2024-02-16,2,3,2,750
94,2024-02-17,1,3,1,500
95,2024-02-17,2,4,2,750
96,2024-02-17,3,5,3,950
97,2024-02-18,1,4,1,500
98,2024-02-19,1,5,1,500
99,2024-02-19,2,1,2,750
100,2024-02-20,1,1,1,500
101,2024-02-20,2,2,2,750
102,2024-02-20,3,3,3,950
103,2024-02-21,1,2,1,500
104,2024-02-22,1,3,1,500
105,2024-02-22,2,4,2,750
106,2024-02-23,1,4,1,500
107,2024-02-23,2,5,2,750
108,2024-02-23,3,1,3,950
109,2024-02-24,1,5,1,500
110,2024-02-25,1,1,1,500
111,2024-02-25,2,2,2,750
112,2024-02-26,1,2,1,500
113,2024-02-26,2,3,2,750
114,2024-02-26,3,4,3,950
115,2024-02-27,1,3,1,500
116,2024-02-28,1,4,1,500
117,2024-02-28,2,5,2,750
118,2024-02-29,1,5,1,500
119,2024-02-29,2,1,2,750
120,2024-02-29,3,2,3,950
121,2024-03-01,1,1,1,500
122,2024-03-02,1,2,1,500
123,2024-03-02,2,3,2,750
124,2024-03-03,1,3,1,500
125,2024-03-03,2,4,2,750
126,2024-03-03,3,5,3,950
127,2024-03-04,1,4,1,500
128,2024-03-05,1,5,1,500
129,2024-03-05,2,1,2,750
130,2024-03-06,1,1,1,500
131,2024-03-06,2,2,2,750
132,2024-03-06,3,3,3,950
133,2024-03-07,1,2,1,500
134,2024-03-08,1,3,1,500
135,2024-03-08,2,4,2,750
136,2024-03-09,1,4,1,500
137,2024-03-09,2,5,2,750
138,2024-03-09,3,1,3,950
139,2024-03-10,1,5,1,500
140,2024-03-11,1,1,1,500
141,2024-03-11,2,2,2,750
142,2024-03-12,1,2,1,500
143,2024-03-12,2,3,2,750
144,2024-03-12,3,4,3,950
145,2024-03-13,1,3,1,500
146,2024-03-14,1,4,1,500
147,2024-03-14,2,5,2,750
148,2024-03-15,1,5,1,500
149,2024-03-15,2,1,2,750
150,2024-03-15,3,2,3,950
151,2024-03-16,1,1,1,500
152,2024-03-17,1,2,1,500
153,2024-03-17,2,3,2,750
154,2024-03-18,1,3,1,500
155,2024-03-18,2,4,2,750
156,2024-03-18,3,5,3,950
157,2024-03-19,1,4,1,500
158,2024-03-20,1,5,1,500
159,2024-03-20,2,1,2,750
160,2024-03-21,1,1,1,500
161,2024-03-21,2,2,2,750
162,2024-03-21,3,3,3,950
163,2024-03-22,1,2,1,500
164,2024-03-23,1,3,1,500
165,2024-03-23,2,4,2,750
166,2024-03-24,1,4,1,500
167,2024-03-24,2,5,2,750
168,2024-03-24,3,1,3,950
169,2024-03-25,1,5,1,500
170,2024-03-26,1,1,1,500
171,2024-03-26,2,2,2,750
172,2024-03-27,1,2,1,500
173,2024-03-27,2,3,2,750
174,2024-03-27,3,4,3,950
175,2024-03-28,1,3,1,500
176,2024-03-29,1,4,1,500
177,2024-03-29,2,5,2,750
178,2024-03-30,1,5,1,500
179,2024-03-30,2,1,2,750
180,2024-03-30,3,2,3,950
181,2024-03-31,1,1,1,500
182,2024-04-01,1,2,1,500
183,2024-04-01,2,3,2,750
184,2024-04-02,1,3,1,500
185,2024-04-02,2,4,2,750
186,2024-04-02,3,5,3,950
187,2024-04-03,1,4,1,500
188,2024-04-04,1,5,1,500
189,2024-04-04,2,1,2,750
190,2024-04-05,1,1,1,500
191,2024-04-05,2,2,2,750
192,2024-04-05,3,3,3,950
193,2024-04-06,1,2,1,500
194,2024-04-07,1,3,1,500
195,2024-04-07,2,4,2,750
196,2024-04-08,1,4,1,500
197,2024-04-08,2,5,2,750
198,2024-04-08,3,1,3,950
199,2024-04-09,1,5,1,500
200,2024-04-10,1,1,1,500
201,2024-04-10,2,2,2,750
202,2024-04-11,1,2,1,500
203,2024-04-11,2,3,2,750
204,2024-04-11,3,4,3,950
205,2024-04-12,1,3,1,500
206,2024-04-13,1,4,1,500
207,2024-04-13,2,5,2,750
208,2024-04-14,1,5,1,500
209,2024-04-14,2,1,2,750
210,2024-04-14,3,2,3,950
211,2024-04-15,1,1,1,500
212,2024-04-16,1,2,1,500
213,2024-04-16,2,3,2,750
214,2024-04-17,1,3,1,500
215,2024-04-17,2,4,2,750
216,2024-04-17,3,5,3,950
217,2024-04-18,1,4,1,500
218,2024-04-19,1,5,1,500
219,2024-04-19,2,1,2,750
220,2024-04-20,1,1,1,500
221,2024-04-20,2,2,2,750
222,2024-04-20,3,3,3,950
223,2024-04-21,1,2,1,500
224,2024-04-22,1,3,1,500
225,2024-04-22,2,4,2,750
226,2024-04-23,1,4,1,500
227,2024-04-23,2,5,2,750
228,2024-04-23,3,1,3,950
229,2024-04-24,1,5,1,500
230,2024-04-25,1,1,1,500
231,2024-04-25,2,2,2,750
232,2024-04-26,1,2,1,500
233,2024-04-26,2,3,2,750
234,2024-04-26,3,4,3,950
235,2024-04-27,1,3,1,500
236,2024-04-28,1,4,1,500
237,2024-04-28,2,5,2,750
238,2024-04-29,1,5,1,500
